1110	1330	886	1412	504	510																																														
665	642	392	622	401	645																																														
337	281	278	386	196	213																																														
238	154	303	211	228	264																																														
1256	976	1340	1024	968	1016																																														
162.8	0	96.4	432	540	708																																														
21.84	0	0	20.4	5.6	8.4																																														
0	42	3.2	0	22.8	0																																														
439	356	286	434	430	387																																														
335	218	210	156	158	241																																														
57.3	158	127	152	224	56.8																																														
218	150	206	121	151	183																																														
